ISO 639-3	NAME	FAMILY	-1 (GENUS)	-2	-3	-4	-5	-6	-7	-8	-9	-10	-11	-12
ace	Acehnese	Austronesian	Malayo-Polynesian	Malayo-Chamic	Chamic	Acehnese								
acm	Arabic (Iraqi/Mesopotamian)	Afro-Asiatic	Semitic	West Semitic	Central Semitic	Arabian	Arabic							
acq	Arabic (Yemen)	Afro-Asiatic	Semitic	West Semitic	Central Semitic	Arabian	Arabic							
ars	Arabic (Saudi Arabia)	Afro-Asiatic	Semitic	West Semitic	Central Semitic	Arabian	Arabic							
aeb	Arabic (Tunisia)	Afro-Asiatic	Semitic	West Semitic	Central Semitic	Arabian	Arabic							
afr	Akrikaans	Afro-Asiatic	Semitic	West Semitic	Central Semitic	Arabian	Arabic							
ajp	Arabic (Jordan)	Afro-Asiatic	Semitic	West Semitic	Central Semitic	Arabian	Arabic							
aka	Akan	Atlantic-Congo	Volta-Congo	Kwa	Nyo	Potou-Tano	Tano	Central Tano	Akan					
amh	Amharic	Afro-Asiatic	Semitic	South Semitic	Ethiopian	South Ethiopian	Transversal South Ethiopian	Amharic-Argobba						
apc	Arabic (Lebanon)	Afro-Asiatic	Semitic	West Semitic	Central Semitic	Arabian	Arabic							
arb	Arabic (Modern Standard Arabic)	Afro-Asiatic	Semitic	West Semitic	Central Semitic	Arabian	Arabic							
ary	Arabic (Morocco)	Afro-Asiatic	Semitic	West Semitic	Central Semitic	Arabian	Arabic							
arz	Arabic (Egypt)	Afro-Asiatic	Semitic	West Semitic	Central Semitic	Arabian	Arabic							
asm	Assamese	Indo-European	Indo-Iranian	Indo-Aryan	Indo-Aryan Eastern	Kamrupa	Eastern Kamrupa							
ast	Asturian	Indo-European	Italic	Romance	Italo-Western Romance	Western Romance	Gallo-Iberian	Ibero-Romance	West Iberian	Asturo-Leonese				
awa	Awadhi	Indo-European	Indo-Iranian	Indo-Aryan	Indo-Aryan Central	Subcontinental Central Indo-Aryan	Eastern Hindi	Awadhic						
aym	Aymara	Aymaran	Central Southern Aymara											
ayr	Aymara (Central)	Aymaran	Central Southern Aymara	Central Aymara										
azb	South Azerbaijani	Turkic	Common Turkic	Oghuz	Nuclear Oghuz	Central Oghuz	Modern Azeric							
azj	North Azerbaijani	Turkic	Common Turkic	Oghuz	Nuclear Oghuz	Central Oghuz	Modern Azeric							
bak	Bashkir	Turkic	Common Turkic	Kipchak	North Kipchak									
bam	Bambara	Mande	Western Mande	Manding-Kpelle	Central-Southwestern	Central Mande	Manding-Jogo	Manding-Vai	Manding-Mokole	Manding	East Manding			
ban	Balinese	Austronesian	Malayo-Polynesian	Malayo-Sumbawan	North and East Malayo-Sumbawan	Bali-Sasak-Sumbawa								
bel	Belarusian	Indo-European	Balto-Slavic	Slavic	East Slavic									
bem	Bemba	Atlantic-Congo	Volta-Congo	Benue-Congo	Bantoid	Southern Bantoid	Narrow Bantu	East Bantu	Sabi	Malungu-Central Sabi	Central Sabi	M.40		
ben	Bengali	Indo-European	Indo-Iranian	Indo-Aryan	Indo-Aryan Eastern	Oriya-Gauda-Kamrupa	Gauda-Kamrupa	Gauda-Banga						
bho	Bhojpuri	Indo-European	Indo-Iranian	Indo-Aryan	Bihari	Magadhan	Ghojpuric							
bjn	Banjar	Austronesian	Malayo-Polynesian	Malayo-Sumbawan	Malayic	Nuclear Malayic	East Borneo Malay	Banjar-Berau-Brunei Malay						
bod	Tibetan	Sino-Tibetan	Bodic	Bodish	Central Tibetan									
bos	Bosnian	Indo-European	Balto-Slavic	Slavic	South Slavic	Western South Slavic	Serbian-Croatian-Bosnian	Shtokavski	New Shtokavian	Eastern Herzegovinian Shtokavian				
bug	Buginese	Austronesian	Malayo-Polynesian	South Sulawesi	Tamanic-Bugis	Bugis								
bul	Bulgarian	Indo-European	Balto-Slavic	Slavic	South Slavic	Eastern South Slavic	Macedo-Bulgarian							
cat	Catalan	Indo-European	Italic	Latino-Faliscan	Latinic	Romance	Italo-Western Romance	Western Romance	Shifted Western Romance	Southwestern Shifted Romance				
ceb	Cebuano	Austronesian	Malayo-Polynesian	Greater Central Philippine	Central Philippine	Bisayan								
ces	Czech	Indo-European	Balto-Slavic	Slavic	West Slavic	Czech-Slovak	Czech-Lach							
cjk	Chokwe	Atlantic-Congo	Volta-Congo	Benue-Congo	Bantoid	Southern Bantoid	Narrow Bantu	Central Western Bantu	Njila	Southern Njila	Chokwe-Lunda	Chokwe-Ngangela-Nyemba K.20	Chokwe-Lwena	
ckb	Central (Sorani) Kurdish	Indo-European	Indo-Iranian	Iranian	Central Iranian	Northwestern Iranian	Laki-Kurdish	Kurdish						
cmn	Mandarin Chinese	Sino-Tibetan	Sinitic	Middle-Modern Sinitic	Northern Chinese	Mandarinic								
crh	Crimean Tatar	Turkic	Common Turkic	Kipchak	West Kipchak	Crimean Tatar-Urum	Crimeaic							
cym	Welsh	Indo-European	Celtic	Nuclear Celtic	Insular Celtic	Brythonic								
dan	Danish	Indo-European	Germanic	Northwest Germanic	North Germanic	South Scandinavian								
deu	German	Indo-European	Germanic	Northwest Germanic	West Germanic	High German	Upper German	Modern High German	Upper Franconian					
dik	Dinka (Rek)	Nilotic	Western Nilotic	Dinka-Nuer	Dinka									
diq	Southern Zaza, Dimli (Zazaki)	Indo-European	Indo-Iranian	Iranian	Central Iranian	Northwestern Iranian	Adharic	Zaza						
dyu	Dioula	Mande	Western Mande	Manding-Kpelle	Central Mande	Manding-Jogo	Manding-Vai	Manding-Mokole	Manding	Manding-East	East Manding			
dzo	Dzongkha	Sino-Tibetan	Bodic	Bodish	Southern Tibetic	Dzongkhic	Nuclear Dzongkhic							
ekk	Estonian	Uralic	Finnic	Coastal Finnic	Neva	Central Finnic								
ell	Greek	Indo-European	Graeco-Phrygian	Greek	East Greek	Koineic Greek	Modern Koineic Greek	Nuclear Modern Greek						
eng	English	Indo-European	Germanic	Northwest Germanic	West Germanic	North Sea Germanic	Anlgo-Frisian	Anglic						
epo	Esperanto	Constructed												
eus	Basque	Euskara												
ewe	Ewe	Atlantic-Congo	Volta-Congo	Kwa Volta-Congo	Gbe	Western Gbe	Eweic							
fao	Faroese	Indo-European	Germanic	Northwest Germanic	North Germanic	West Scandinavian	Icelandic-Faroese							
fij	Fijian	Austronesian	Malayo-Polynesian	Central-Eastern Malayo-Polynesian	Eastern Malayo-Polynesian	Oceanic	Central Pacific Linkage	Tokelau-Fijian	East Fijian					
fin	Finnish	Uralic	Finnic	Coastal Finnic	Neva	North Finnic	Nuclear Finnish							
fon	Fon	Atlantic-Congo	Volta-Congo	Kwa Volta-Congo	Gbe	Eastern Gbe	Fongbeic							
fra	French	Indo-European	Italic	Latino-Faliscan	Latinic	Romance	Italo-Western Romance	Western Romance	Shifted Western Romance	Northwestern Shifted Romance	Gallo-Rhaetian	Oïl	Central Oïl	
fur	Friulian	Indo-European	Italic	Latino-Faliscan	Latinic	Romance	Italo-Western Romance	Western Romance	Shifted Western Romance	Northwestern Shifted Romance	Gallo-Rhaetian			
fuv	Fulfulde	Atlantic-Congo	North-Central Atlantic	Fula-Sereer	Fula	Eastern Fula								
gla	Scottish Gaelic	Indo-European	Celtic	Nuclear Celtic	Insular Celtic	Goidelic								
gle	Irish	Indo-European	Celtic	Nuclear Celtic	Insular Celtic	Goidelic								
glg	Galician	Indo-European	Italic	Latino-Faliscan	Latinic	Romance	Italo-Western Romance	Western Romance	Shifted Western Romance	Southwestern Shifted Romance	West Ibero-Romance	Galician Romance		
grn	Guarani	Tupian	Maweti-Guarani	Tupí-Guaraní										
guj	Gujarati	Indo-European	Indo-Iranian	Indo-Aryan	Indo-Aryan Central	Subcontinental Central Indo-Aryan	Gujarati-Rajasthani	Gujaratic						
hat	Haitian Creole	Creole	(French)											
hau	Hausa	Afro-Asiatic	Chadic	West Chadic	West Chadic A	West Chadic A.1								
heb	Hebrew	Afro-Asiatic	Semitic	West Semitic	Northwest Semitic	Canaanite	Hebweic							
hin	Hindi	Indo-European	Indo-Iranian	Indo-Aryan	Indo-Aryan Central	Subcontinental Central Indo-Aryan	Western Hindi	Hindustani						
hne	Chhattisgarhi	Indo-European	Indo-Iranian	Indo-Aryan	Indo-Aryan Central	Subcontinental Central Indo-Aryan	Eastern Hindi							
hrv	Croatian	Indo-European	Balto-Slavic	Slavic	South Slavic	Western South Slavic	Serbian-Croatian-Bosnian	Shtokavski	New Shtokavian	Eastern Herzegovinian Shtokavian				
hun	Hungarian	Uralic												
hye	Armenian	Indo-European	Armenic	Eastern-Western Armenian										
ibo	Igbo	Atlantic-Congo	Volta-Congo	Benue-Congo	Igboid	Nuclear Igboid								
ilo	Ilocano	Austronesian	Malayo-Polynesian	Northern Luzon										
