Language Name	Current Data 	BCP47	Code	Script	# Speakers	# Articles	Regional Langs	Family	Genus	Nucleus	Target Dialect 	Agglu?	Word Order	FLORES	FLORES Beta ETA	FLORES 200 Final ETA	Seed Data	Data Version	Amt Mono Data	Amt Public Bitext	Bitext Download	Mono Download	Seed URLs	Toxicity	Dictionary	H2 2021	Launch Status	Future Candidate
Afrikaans	afr	afr	afr	Latin 	17,600,000			Indo-European	Germanic	West Germanic		FALSE		Delivered	---	---	---	data freeze 2	---	4526302	Done	Done	---	TRUE	FALSE	62.3		
Akan	aka	aka	aka	Latin				Atlantic-Congo	Kwa	Nyo-Akanic	Asante Twi	FALSE		Delivered	N/A	Delivered	---	---	---	473159	automated complete	to format	---	FALSE	FALSE	---		No translation
Albanian	sqi	sqi	sqi	Latin				Indo-European	Albanian	Albanian		FALSE		Delivered	---	---	---	data freeze 2	51916796	5590809	Done	Done	---	FALSE	FALSE	47.8		
Amharic	amh	amh_Ethi	amh	Ethi	57,345,000			Afro-Asiatic	Semitic	Amharic-Argobba		TRUE		Delivered	---	---	---	data freeze 2	15413708	383262	Done	Done	---	TRUE	FALSE	37.6		
Arabic (Egypt)		arz	arz	Arabic				Afro-Asiatic	Semitic	Arabic		FALSE		Delivered	N/A	Delivered	Start Jan	---	---	0	Done	Done	manual complete	FALSE	FALSE	---		Often deleted
Arabic (Iraqi/Mesopotamian)		acm	acm	Arabic				Afro-Asiatic	Semitic	Arabic		FALSE		Delivered	---	---	remove	---	---	0	Done	Done	---	FALSE	FALSE	---		
Arabic (Lebanon)		apc	apc	Arabic				Afro-Asiatic	Semitic	Arabic		FALSE		Delivered	---	---	remove	---	---	0	Done	Done	---	FALSE	FALSE	---		
Arabic (Modern Standard Arabic) Romanized		ara_Latn	ara_Latn	Latin				Afro-Asiatic	Semitic	Arabic		FALSE		Delivered	---	---	remove	---	---	0	Done	Done	---	FALSE	FALSE	---		
Arabic (Morocco)		ary	ary	Arabic				Afro-Asiatic	Semitic	Arabic		FALSE		Delivered	---	---	Start Jan	---	---	0	Done	Done	---	FALSE	FALSE	---		No translation
Arabic (MSA)	ara	arb_Arab	ara_Arab	Arabic	617,000,000			Afro-Asiatic	Semitic	Arabic		FALSE		Delivered	---	---	---	data freeze 2	---	31564863	Done	Done	---	TRUE	FALSE	49		
Arabic (Saudi Arabia)		ars	ars	Arabic				Afro-Asiatic	Semitic	Arabic		FALSE		Delivered	---	---	remove	---	---	0	Done	Done	---	FALSE	FALSE	---		
Arabic (Tunisia)		aeb	aeb	Arabic				Afro-Asiatic	Semitic	Arabic		FALSE		Delivered	---	---	remove	---	---	0	Done	Done	---	FALSE	FALSE	---		
Arabic (Yemen)		acq	acq	Arabic				Afro-Asiatic	Semitic	Arabic		FALSE		Delivered	---	---	remove	---	---	0	Done	Done	---	FALSE	FALSE	---		
Armenian	hye	hye	hye	Armenian				Indo-European	Armenian	Armenian		FALSE		Delivered	---	---	---	data freeze 2	44886552	2130031	Done	Done	---	TRUE	FALSE	45	CANDIDATE	Often deleted
Assamese	asm	asm_Beng	asm	Bengali	22,816,000			Indo-European	Indo-Aryan	Eastern Indo-Aryan		FALSE		Delivered	---	---	---	data freeze 2	3982794	339099	Done	Done	---	TRUE	FALSE	31.4		
